s,C,C,C
 3.2010666E+001, 2.0095705E+001, 5.5619185E+001, 8.8449401E+001
 3.3020799E+001, 2.0091377E+001, 7.5015993E+001, 8.9202392E+001
 3.4020600E+001, 2.0088444E+001, 7.0231874E+001, 9.1033923E+001
 3.5001081E+001, 2.0089414E+001, 7.4035706E+001, 9.2886178E+001
 3.6007127E+001, 2.0088605E+001, 7.7799897E+001, 9.1671277E+001
 3.7017627E+001, 2.0086805E+001, 7.2882312E+001, 9.5412624E+001
 3.8007003E+001, 2.0086048E+001, 6.9362629E+001, 9.4595301E+001
 3.9017819E+001, 2.0082942E+001, 7.2043714E+001, 9.5842907E+001
 4.0009334E+001, 2.0086264E+001, 7.6754392E+001, 9.6627418E+001
 4.1015325E+001, 2.0092726E+001, 6.4684067E+001, 9.8981403E+001
 4.2010042E+001, 2.0088797E+001, 6.5231198E+001, 9.8381211E+001
 4.3016318E+001, 2.0088113E+001, 4.7882507E+001, 9.7684218E+001
 4.4017484E+001, 2.0087268E+001, 7.3741843E+001, 9.8480996E+001
 4.5018685E+001, 2.0092965E+001, 7.9949848E+001, 1.0286313E+002
 4.6010018E+001, 2.0093139E+001, 5.7058482E+001, 1.0176805E+002
 4.7020644E+001, 2.0093543E+001, 8.6042573E+001, 1.0232999E+002
 4.8003739E+001, 2.0093465E+001, 8.0553802E+001, 1.0389691E+002
 4.9019974E+001, 2.0092992E+001, 8.6016807E+001, 1.0263702E+002
 5.0024661E+001, 2.0089517E+001, 6.8278818E+001, 1.0393094E+002
 5.1012063E+001, 2.0088270E+001, 8.3559695E+001, 1.0671254E+002
 5.2013605E+001, 2.0085763E+001, 5.2088911E+001, 1.0101519E+002
 5.3001674E+001, 2.0084317E+001, 6.3205433E+001, 1.0294649E+002
 5.4015021E+001, 2.0083307E+001, 8.8084919E+001, 1.0285714E+002
 5.5012884E+001, 2.0089438E+001, 8.6454371E+001, 1.0368127E+002
 5.6024012E+001, 2.0087421E+001, 6.3573650E+001, 1.0461932E+002
 5.7011073E+001, 2.0091010E+001, 7.4434919E+001, 1.0692646E+002
 5.8022894E+001, 2.0096451E+001, 6.1813120E+001, 1.0680271E+002
 5.9017279E+001, 2.0097074E+001, 8.4039708E+001, 1.0702067E+002
 6.0020375E+001, 2.0095822E+001, 8.9482915E+001, 1.0645959E+002
 6.1006066E+001, 2.0096665E+001, 8.5054771E+001, 1.1428705E+002
 6.2023928E+001, 2.0100599E+001, 8.7667163E+001, 1.0902821E+002
 6.3001714E+001, 2.0102170E+001, 7.6058620E+001, 1.1053304E+002
 6.4001697E+001, 2.0098188E+001, 7.8464825E+001, 1.0736767E+002
 6.5008743E+001, 2.0099016E+001, 8.5076333E+001, 1.0485101E+002
 6.6017944E+001, 2.0103574E+001, 8.7691307E+001, 1.1202798E+002
 6.7002777E+001, 2.0102990E+001, 8.1211358E+001, 1.1167229E+002
 6.8006502E+001, 2.0099759E+001, 8.5974062E+001, 1.1610895E+002
 6.9003574E+001, 2.0100400E+001, 7.9425157E+001, 1.1399163E+002
 7.0010038E+001, 2.0101664E+001, 6.0913170E+001, 1.1037409E+002
 7.1011518E+001, 2.0102895E+001, 8.3235376E+001, 1.1384351E+002
 7.2019309E+001, 2.0104682E+001, 8.7091364E+001, 1.1443192E+002
 7.3007417E+001, 2.0100056E+001, 8.7972366E+001, 1.1392195E+002
 7.4007595E+001, 2.0101026E+001, 7.8849630E+001, 1.1539868E+002
 7.5007773E+001, 2.0107712E+001, 8.7589994E+001, 1.1843003E+002
 7.6009247E+001, 2.0105523E+001, 8.6851143E+001, 1.1226254E+002
 7.7002896E+001, 2.0097495E+001, 6.3310424E+001, 1.1114344E+002
 7.8021287E+001, 2.0099354E+001, 6.6214666E+001, 1.1574513E+002
 7.9011040E+001, 2.0099008E+001, 8.0085471E+001, 1.1382314E+002
 8.0013260E+001, 2.0099336E+001, 6.3314421E+001, 1.1187266E+002
 8.1009998E+001, 2.0114783E+001, 6.0356099E+001, 1.1162056E+002
 8.2020587E+001, 2.0118117E+001, 6.6856462E+001, 1.1448297E+002
 8.3004685E+001, 2.0114086E+001, 7.4266660E+001, 1.1192806E+002
 8.4008036E+001, 2.0113610E+001, 6.1169127E+001, 1.1388109E+002
 8.5014360E+001, 2.0114411E+001, 4.2023565E+001, 1.1515150E+002
 8.6010820E+001, 2.0114786E+001, 7.8385333E+001, 1.1104471E+002
 8.7009907E+001, 2.0116492E+001, 7.6168079E+001, 1.1339973E+002
 8.8012952E+001, 2.0114035E+001, 7.1331197E+001, 1.1467865E+002
 8.9018338E+001, 2.0116241E+001, 8.2703585E+001, 1.1554887E+002
 9.0020535E+001, 2.0116844E+001, 9.0618654E+001, 1.1335853E+002
 9.1001330E+001, 2.0111489E+001, 8.3713329E+001, 1.1206648E+002
 9.2016613E+001, 2.0115920E+001, 7.4006166E+001, 1.1308974E+002
 9.3001547E+001, 2.0117848E+001, 7.9839453E+001, 1.1466422E+002
 9.4000229E+001, 2.0126591E+001, 7.9281770E+001, 1.1661305E+002
 9.5005601E+001, 2.0125331E+001, 7.7198209E+001, 1.1634660E+002
 9.6021669E+001, 2.0125394E+001, 7.2671281E+001, 1.1469032E+002
 9.7009928E+001, 2.0131025E+001, 9.3438501E+001, 1.1195798E+002
 9.8021717E+001, 2.0121744E+001, 8.8565491E+001, 1.1459626E+002
 9.9014475E+001, 2.0118545E+001, 8.6501300E+001, 1.1339740E+002
 1.0001022E+002, 2.0114169E+001, 8.5985736E+001, 1.1564968E+002
 1.0100752E+002, 2.0115346E+001, 8.6894924E+001, 1.1500907E+002
 1.0200634E+002, 2.0115086E+001, 8.4025749E+001, 1.1753230E+002
 1.0302058E+002, 2.0112604E+001, 7.6142894E+001, 1.1672101E+002
 1.0400143E+002, 2.0117947E+001, 6.1003187E+001, 1.1621855E+002
 1.0502069E+002, 2.0122949E+001, 5.7676361E+001, 1.1710215E+002
 1.0601261E+002, 2.0126981E+001, 7.9480556E+001, 1.1591366E+002
 1.0700158E+002, 2.0123113E+001, 6.8844955E+001, 1.1653866E+002
 1.0801092E+002, 2.0119790E+001, 8.2384401E+001, 1.1450288E+002
 1.0900696E+002, 2.0121007E+001, 6.1626170E+001, 1.1665544E+002
 1.1001350E+002, 2.0115047E+001, 6.1605748E+001, 1.1764594E+002
 1.1102253E+002, 2.0112629E+001, 8.1233988E+001, 1.1616942E+002
 1.1202247E+002, 2.0118450E+001, 6.6335993E+001, 1.1731628E+002
 1.1302180E+002, 2.0121584E+001, 8.3923833E+001, 1.1798337E+002
 1.1402010E+002, 2.0120756E+001, 8.4761333E+001, 1.1619375E+002
 1.1500923E+002, 2.0122308E+001, 7.6173493E+001, 1.1596413E+002
 1.1600636E+002, 2.0124920E+001, 7.9597071E+001, 1.1616967E+002
 1.1701538E+002, 2.0126321E+001, 5.8384182E+001, 1.1466803E+002
 1.1801571E+002, 2.0132783E+001, 7.3300249E+001, 1.1628938E+002
 1.1901521E+002, 2.0134021E+001, 8.3696914E+001, 1.1490020E+002
 1.2001305E+002, 2.0130673E+001, 7.5740404E+001, 1.1606760E+002
 1.2101702E+002, 2.0126423E+001, 9.4540665E+001, 1.1909746E+002
 1.2201151E+002, 2.0125274E+001, 9.5206568E+001, 1.1995134E+002
 1.2301207E+002, 2.0124831E+001, 8.9785833E+001, 1.1656159E+002
 1.2400256E+002, 2.0124267E+001, 7.7592225E+001, 1.1827575E+002
 1.2500031E+002, 2.0116118E+001, 6.2387651E+001, 1.1763649E+002
 1.2600557E+002, 2.0117290E+001, 6.6524879E+001, 1.1749196E+002
 1.2701029E+002, 2.0119603E+001, 7.2306599E+001, 1.1625138E+002
 1.2800239E+002, 2.0118421E+001, 6.0764451E+001, 1.1492369E+002
 1.2901644E+002, 2.0128797E+001, 7.3225432E+001, 1.1655422E+002
 1.3001790E+002, 2.0127142E+001, 6.3489284E+001, 1.1699016E+002
 1.3101989E+002, 2.0137096E+001, 9.1477210E+001, 1.1900488E+002
 1.3202238E+002, 2.0153811E+001, 8.1087884E+001, 1.2111770E+002
 1.3300399E+002, 2.0157057E+001, 4.2824383E+001, 1.2068201E+002
 1.3401238E+002, 2.0153878E+001, 8.0186504E+001, 1.1756122E+002
 1.3501878E+002, 2.0147828E+001, 9.3987226E+001, 1.1759465E+002
 1.3601025E+002, 2.0138365E+001, 9.5966327E+001, 1.1829207E+002
 1.3701556E+002, 2.0133396E+001, 7.7120228E+001, 1.1653453E+002
 1.3801499E+002, 2.0133036E+001, 7.5798637E+001, 1.1672884E+002
 1.3900520E+002, 2.0128800E+001, 7.0515754E+001, 1.1672436E+002
 1.4001809E+002, 2.0127876E+001, 5.8370869E+001, 1.1785953E+002
 1.4101138E+002, 2.0125669E+001, 3.5574864E+001, 1.1620829E+002
 1.4200422E+002, 2.0136293E+001, 7.7175297E+001, 1.1528178E+002
 1.4300702E+002, 2.0130719E+001, 7.7653938E+001, 1.2058363E+002
 1.4401608E+002, 2.0124359E+001, 6.1374760E+001, 1.1921496E+002
 1.4500426E+002, 2.0123741E+001, 8.2885779E+001, 1.2046898E+002
 1.4601488E+002, 2.0130785E+001, 7.8795147E+001, 1.2327888E+002
 1.4700344E+002, 2.0141334E+001, 9.1423851E+001, 1.2030561E+002
 1.4800545E+002, 2.0139368E+001, 7.3767026E+001, 1.2141306E+002
 1.4901857E+002, 2.0136066E+001, 6.3702892E+001, 1.2119860E+002
 1.5001712E+002, 2.0132188E+001, 7.9817614E+001, 1.2039942E+002
 1.5100271E+002, 2.0128755E+001, 8.4387730E+001, 1.1791004E+002
 1.5200958E+002, 2.0127870E+001, 7.7709116E+001, 1.1716615E+002
 1.5302127E+002, 2.0123786E+001, 9.1473574E+001, 1.1884655E+002
 1.5400259E+002, 2.0124437E+001, 9.0944327E+001, 1.1775129E+002
 1.5501456E+002, 2.0116777E+001, 8.1427044E+001, 1.2000316E+002
 1.5600995E+002, 2.0120026E+001, 6.9524199E+001, 1.1687593E+002
 1.5701634E+002, 2.0122767E+001, 8.4816569E+001, 1.1747063E+002
 1.5800074E+002, 2.0113005E+001, 8.9554258E+001, 1.1794967E+002
 1.5901935E+002, 2.0112580E+001, 8.8377423E+001, 1.1916459E+002
 1.6002247E+002, 2.0119457E+001, 9.5969348E+001, 1.2357235E+002
 1.6101788E+002, 2.0121395E+001, 8.7424899E+001, 1.2356814E+002
 1.6201723E+002, 2.0119945E+001, 8.9807243E+001, 1.2393203E+002
 1.6300265E+002, 2.0124290E+001, 8.2746321E+001, 1.2106895E+002
 1.6402149E+002, 2.0134979E+001, 5.8199451E+001, 1.1804779E+002
 1.6501119E+002, 2.0133414E+001, 6.8615503E+001, 1.1985133E+002
 1.6601205E+002, 2.0130012E+001, 7.5162531E+001, 1.1842381E+002
 1.6701305E+002, 2.0130229E+001, 8.6030908E+001, 1.1888299E+002
 1.6802065E+002, 2.0122191E+001, 8.3713373E+001, 1.2258731E+002
 1.6901175E+002, 2.0121426E+001, 7.0807891E+001, 1.2136838E+002
 1.7002207E+002, 2.0121004E+001, 5.9876493E+001, 1.2058096E+002
 1.7100640E+002, 2.0129969E+001, 3.8742316E+001, 1.1781147E+002
 1.7201946E+002, 2.0127188E+001, 7.7094945E+001, 1.2160658E+002
 1.7302100E+002, 2.0128782E+001, 8.6385972E+001, 1.1873581E+002
 1.7401217E+002, 2.0136299E+001, 7.0922943E+001, 1.1779298E+002
 1.7500270E+002, 2.0144880E+001, 9.2186267E+001, 1.2000256E+002
 1.7600617E+002, 2.0144962E+001, 8.6637223E+001, 1.1975894E+002
 1.7700018E+002, 2.0131273E+001, 6.0453855E+001, 1.1890892E+002
 1.7801669E+002, 2.0131540E+001, 6.5798946E+001, 1.2216446E+002
 1.7900207E+002, 2.0133649E+001, 6.9955903E+001, 1.2092441E+002
 1.8000967E+002, 2.0134113E+001, 7.2966047E+001, 1.2036383E+002
 1.8101203E+002, 2.0133738E+001, 8.7808431E+001, 1.1986469E+002
 1.8201296E+002, 2.0126519E+001, 8.6289714E+001, 1.2081788E+002
 1.8301175E+002, 2.0124245E+001, 8.0807735E+001, 1.1887980E+002
 1.8400747E+002, 2.0132759E+001, 9.6087660E+001, 1.2309231E+002
 1.8502063E+002, 2.0121873E+001, 8.9843022E+001, 1.2031719E+002
 1.8600525E+002, 2.0122902E+001, 6.9169818E+001, 1.2448877E+002
 1.8701095E+002, 2.0118924E+001, 9.5870880E+001, 1.2041483E+002
 1.8800087E+002, 2.0117390E+001, 7.5638726E+001, 1.2347421E+002
 1.8900098E+002, 2.0117864E+001, 8.0500424E+001, 1.1978924E+002
 1.9002282E+002, 2.0131857E+001, 9.0677934E+001, 1.1877174E+002
 1.9100336E+002, 2.0140558E+001, 9.2239722E+001, 1.1938314E+002
 1.9200781E+002, 2.0137875E+001, 8.9496246E+001, 1.1937174E+002
 1.9301393E+002, 2.0131842E+001, 9.3503314E+001, 1.1845216E+002
 1.9402004E+002, 2.0135974E+001, 7.8040793E+001, 1.2165607E+002
 1.9501855E+002, 2.0143760E+001, 9.2170016E+001, 1.2398297E+002
 1.9601975E+002, 2.0133998E+001, 8.3758694E+001, 1.1796704E+002
 1.9700509E+002, 2.0138068E+001, 9.5481156E+001, 1.2038559E+002
 1.9801084E+002, 2.0137997E+001, 9.0050500E+001, 1.1916031E+002
 1.9900525E+002, 2.0134495E+001, 9.4256379E+001, 1.1904259E+002
 2.0000672E+002, 2.0142180E+001, 7.2684629E+001, 1.1915278E+002
 2.0101443E+002, 2.0139729E+001, 7.5967102E+001, 1.1956491E+002
 2.0201819E+002, 2.0141278E+001, 8.3935249E+001, 1.2133481E+002
 2.0300477E+002, 2.0149790E+001, 8.0102156E+001, 1.2213991E+002
 2.0401479E+002, 2.0152224E+001, 8.5754216E+001, 1.2171639E+002
 2.0500152E+002, 2.0152301E+001, 8.6035731E+001, 1.2068205E+002
 2.0600277E+002, 2.0155974E+001, 8.7175305E+001, 1.1957523E+002
 2.0701293E+002, 2.0148989E+001, 8.8350963E+001, 1.2293435E+002
 2.0801466E+002, 2.0146148E+001, 9.5658337E+001, 1.2444435E+002
 2.0900495E+002, 2.0146455E+001, 8.5282746E+001, 1.2011173E+002
 2.1000937E+002, 2.0142278E+001, 6.5579678E+001, 1.2297168E+002
 2.1101962E+002, 2.0137324E+001, 7.6077688E+001, 1.2148946E+002
 2.1201187E+002, 2.0143990E+001, 8.9112576E+001, 1.2027016E+002
 2.1301132E+002, 2.0138393E+001, 8.8955260E+001, 1.2004009E+002
 2.1401280E+002, 2.0142074E+001, 6.2517544E+001, 1.2352527E+002
 2.1500048E+002, 2.0145250E+001, 7.4920444E+001, 1.1940799E+002
 2.1600198E+002, 2.0138554E+001, 9.1166065E+001, 1.1939357E+002
 2.1701278E+002, 2.0139503E+001, 8.1706247E+001, 1.2287660E+002
 2.1801080E+002, 2.0146916E+001, 5.2227145E+001, 1.2012565E+002
 2.1901594E+002, 2.0141668E+001, 9.4369649E+001, 1.2122751E+002
 2.2000305E+002, 2.0139407E+001, 8.3266334E+001, 1.2171266E+002
 2.2102303E+002, 2.0132775E+001, 4.2699155E+001, 1.2177153E+002
 2.2200035E+002, 2.0135163E+001, 8.1369606E+001, 1.2066812E+002
 2.2300164E+002, 2.0136388E+001, 6.1149261E+001, 1.2312023E+002
 2.2401017E+002, 2.0143490E+001, 6.8284638E+001, 1.2367856E+002
 2.2500047E+002, 2.0146817E+001, 8.1712310E+001, 1.2233207E+002
 2.2600740E+002, 2.0151622E+001, 7.0502839E+001, 1.2337361E+002
 2.2701367E+002, 2.0155443E+001, 6.0725329E+001, 1.2431777E+002
 2.2801429E+002, 2.0155550E+001, 7.3844147E+001, 1.1941134E+002
 2.2901232E+002, 2.0155816E+001, 5.8424188E+001, 1.2234351E+002
 2.3000760E+002, 2.0159027E+001, 8.3240321E+001, 1.2261863E+002
 2.3101099E+002, 2.0150613E+001, 9.2788166E+001, 1.2315596E+002
 2.3201735E+002, 2.0142942E+001, 9.0005993E+001, 1.2389789E+002
 2.3300362E+002, 2.0140079E+001, 9.3952368E+001, 1.2585782E+002
 2.3400235E+002, 2.0135259E+001, 7.8195642E+001, 1.2166482E+002
 2.3500078E+002, 2.0131957E+001, 7.6398502E+001, 1.2454506E+002
 2.3600777E+002, 2.0126448E+001, 9.2799398E+001, 1.2493218E+002
 2.3701082E+002, 2.0132536E+001, 6.1539407E+001, 1.2394408E+002
 2.3802073E+002, 2.0133727E+001, 7.4363813E+001, 1.2459147E+002
 2.3900457E+002, 2.0129348E+001, 8.1175804E+001, 1.2410630E+002
 2.4000605E+002, 2.0136230E+001, 6.0879286E+001, 1.2476614E+002
 2.4101744E+002, 2.0130677E+001, 8.2961259E+001, 1.2634047E+002
 2.4201569E+002, 2.0138400E+001, 9.5846410E+001, 1.2284245E+002
 2.4301333E+002, 2.0135392E+001, 7.6492799E+001, 1.2442187E+002
 2.4400112E+002, 2.0137374E+001, 9.1641987E+001, 1.2304460E+002
 2.4501916E+002, 2.0138467E+001, 8.0399504E+001, 1.2055992E+002
 2.4601572E+002, 2.0135619E+001, 9.9789117E+001, 1.2421073E+002
 2.4701985E+002, 2.0135962E+001, 9.4186324E+001, 1.2193060E+002
 2.4802258E+002, 2.0133738E+001, 6.2189399E+001, 1.2076048E+002
 2.4900003E+002, 2.0133705E+001, 6.9075741E+001, 1.2127074E+002
 2.5001501E+002, 2.0144472E+001, 8.2803259E+001, 1.2020185E+002
 2.5100839E+002, 2.0145468E+001, 8.1919350E+001, 1.2073286E+002
 2.5201689E+002, 2.0134360E+001, 6.4418443E+001, 1.2399593E+002
 2.5301475E+002, 2.0141069E+001, 7.9777558E+001, 1.2216712E+002
 2.5400497E+002, 2.0144658E+001, 8.5876202E+001, 1.2352912E+002
 2.5500677E+002, 2.0144281E+001, 8.7134507E+001, 1.2110242E+002
 2.5602338E+002, 2.0137193E+001, 7.8679971E+001, 1.2127056E+002
 2.5701340E+002, 2.0136607E+001, 9.0297796E+001, 1.2305011E+002
 2.5800648E+002, 2.0144409E+001, 8.3326810E+001, 1.1996892E+002
 2.5900622E+002, 2.0141218E+001, 6.6123160E+001, 1.1977595E+002
 2.6001123E+002, 2.0142614E+001, 5.9821091E+001, 1.2005649E+002
 2.6100432E+002, 2.0145334E+001, 7.8686699E+001, 1.2119108E+002
 2.6200216E+002, 2.0146281E+001, 6.4594135E+001, 1.2100745E+002
 2.6300617E+002, 2.0146891E+001, 7.2625362E+001, 1.2282581E+002
 2.6401285E+002, 2.0143979E+001, 8.3655492E+001, 1.2674364E+002
 2.6500029E+002, 2.0138986E+001, 7.6519560E+001, 1.2903148E+002
 2.6601751E+002, 2.0140799E+001, 7.5280266E+001, 1.2547541E+002
 2.6701327E+002, 2.0143761E+001, 7.9264368E+001, 1.2199494E+002
 2.6801359E+002, 2.0138300E+001, 6.8789192E+001, 1.2121795E+002
 2.6900009E+002, 2.0135707E+001, 7.2928377E+001, 1.2315209E+002
 2.7001189E+002, 2.0137157E+001, 8.0519838E+001, 1.2269510E+002
 2.7101084E+002, 2.0134950E+001, 6.1719227E+001, 1.2410479E+002
 2.7200668E+002, 2.0131245E+001, 9.0543014E+001, 1.2264333E+002
 2.7300385E+002, 2.0135642E+001, 7.3017853E+001, 1.2318057E+002
 2.7400679E+002, 2.0141097E+001, 7.1108903E+001, 1.2318723E+002
 2.7501586E+002, 2.0144313E+001, 9.1710936E+001, 1.2182801E+002
 2.7600475E+002, 2.0149544E+001, 8.1204526E+001, 1.2387181E+002
 2.7701717E+002, 2.0154934E+001, 9.8909825E+001, 1.2372851E+002
 2.7801258E+002, 2.0148969E+001, 7.9257041E+001, 1.2347614E+002
 2.7900295E+002, 2.0161649E+001, 7.2751883E+001, 1.2322220E+002
 2.8001557E+002, 2.0158504E+001, 7.6306443E+001, 1.2268188E+002
 2.8101586E+002, 2.0157615E+001, 6.8810983E+001, 1.2008870E+002
 2.8201645E+002, 2.0164170E+001, 8.8083118E+001, 1.2269081E+002
 2.8300331E+002, 2.0156232E+001, 8.8805254E+001, 1.1938226E+002
 2.8401311E+002, 2.0152084E+001, 9.2193368E+001, 1.2212077E+002
 2.8501487E+002, 2.0140521E+001, 9.6196675E+001, 1.2296715E+002
 2.8601193E+002, 2.0128691E+001, 7.6145862E+001, 1.2362896E+002
 2.8700893E+002, 2.0135713E+001, 8.0106669E+001, 1.2418170E+002
 2.8801244E+002, 2.0142963E+001, 9.9997280E+001, 1.2279965E+002
 2.8901001E+002, 2.0129206E+001, 9.1273876E+001, 1.2396875E+002
 2.9001378E+002, 2.0130388E+001, 8.5375820E+001, 1.2673711E+002
 2.9100116E+002, 2.0129601E+001, 9.5793569E+001, 1.2564966E+002
 2.9200955E+002, 2.0129096E+001, 9.7602994E+001, 1.2593700E+002
 2.9301794E+002, 2.0127975E+001, 6.5275858E+001, 1.2670456E+002
 2.9400157E+002, 2.0131496E+001, 7.7102315E+001, 1.2375303E+002
 2.9500282E+002, 2.0143258E+001, 9.9793131E+001, 1.2175922E+002
 2.9600532E+002, 2.0145682E+001, 9.6315322E+001, 1.2240810E+002
 2.9700712E+002, 2.0141545E+001, 9.2051023E+001, 1.2270293E+002
 2.9800057E+002, 2.0137712E+001, 6.9601338E+001, 1.2800855E+002
 2.9901885E+002, 2.0144689E+001, 8.9004412E+001, 1.2329268E+002
 3.0001967E+002, 2.0133191E+001, 7.7826972E+001, 1.2559122E+002
 3.0101805E+002, 2.0136197E+001, 9.2340609E+001, 1.2485027E+002
 3.0201749E+002, 2.0134662E+001, 9.2184458E+001, 1.2562988E+002
 3.0301356E+002, 2.0133453E+001, 8.8990184E+001, 1.2387813E+002
 3.0401755E+002, 2.0138228E+001, 8.0469930E+001, 1.2431902E+002
 3.0500712E+002, 2.0140385E+001, 8.6528239E+001, 1.2736771E+002
 3.0601775E+002, 2.0149113E+001, 8.1335948E+001, 1.2613960E+002
 3.0701448E+002, 2.0151109E+001, 8.8307310E+001, 1.2397478E+002
 3.0800665E+002, 2.0158585E+001, 9.8143263E+001, 1.2293928E+002
 3.0901286E+002, 2.0160389E+001, 6.7879680E+001, 1.2356032E+002
 3.1000464E+002, 2.0153088E+001, 8.5709223E+001, 1.2434363E+002
 3.1101523E+002, 2.0158595E+001, 7.4326511E+001, 1.2566400E+002
 3.1200964E+002, 2.0164814E+001, 8.8147877E+001, 1.2324840E+002
 3.1300000E+002, 2.0155090E+001, 7.9614727E+001, 1.2247969E+002
 3.1400577E+002, 2.0152147E+001, 6.7328675E+001, 1.2329297E+002
 3.1501011E+002, 2.0155399E+001, 6.8924240E+001, 1.2452937E+002
 3.1600936E+002, 2.0156118E+001, 6.1276668E+001, 1.2525098E+002
 3.1700097E+002, 2.0151017E+001, 7.2509124E+001, 1.2127029E+002
 3.1802180E+002, 2.0153249E+001, 9.0257758E+001, 1.2012537E+002
 3.1901343E+002, 2.0153348E+001, 9.1915280E+001, 1.2418943E+002
 3.2001021E+002, 2.0145508E+001, 9.5602952E+001, 1.2433328E+002
 3.2101087E+002, 2.0134799E+001, 7.7479582E+001, 1.2394016E+002
 3.2201803E+002, 2.0142225E+001, 6.9969317E+001, 1.2425742E+002
 3.2300788E+002, 2.0143619E+001, 9.5205099E+001, 1.2421862E+002
 3.2400597E+002, 2.0141213E+001, 9.8158282E+001, 1.2628505E+002
 3.2500407E+002, 2.0155752E+001, 1.0600842E+002, 1.2355934E+002
 3.2602031E+002, 2.0144281E+001, 9.3528429E+001, 1.2349820E+002
 3.2700169E+002, 2.0142856E+001, 7.8919926E+001, 1.2303134E+002
 3.2801737E+002, 2.0149120E+001, 8.9602042E+001, 1.2195915E+002
 3.2900702E+002, 2.0152952E+001, 9.0974623E+001, 1.2211315E+002
 3.3000586E+002, 2.0157031E+001, 8.1027838E+001, 1.2312650E+002
 3.3100035E+002, 2.0158302E+001, 9.8325963E+001, 1.2560673E+002
 3.3200353E+002, 2.0162984E+001, 9.8983157E+001, 1.2286027E+002
 3.3300671E+002, 2.0161483E+001, 7.6654005E+001, 1.2782785E+002
 3.3400609E+002, 2.0150964E+001, 9.5177603E+001, 1.2461682E+002
 3.3501048E+002, 2.0150878E+001, 8.3267317E+001, 1.2694635E+002
 3.3601565E+002, 2.0153076E+001, 1.0032000E+002, 1.2688175E+002
 3.3701024E+002, 2.0157831E+001, 8.4415179E+001, 1.2306166E+002
 3.3800883E+002, 2.0154442E+001, 7.1566322E+001, 1.2398689E+002
 3.3900993E+002, 2.0148263E+001, 9.2138890E+001, 1.2332697E+002
 3.4000691E+002, 2.0153906E+001, 8.8146949E+001, 1.2249642E+002
 3.4100398E+002, 2.0169523E+001, 7.2165028E+001, 1.2357562E+002
 3.4201367E+002, 2.0176855E+001, 7.8376657E+001, 1.2407472E+002
 3.4301069E+002, 2.0172368E+001, 8.8100160E+001, 1.2456296E+002
 3.4400615E+002, 2.0169742E+001, 8.5189781E+001, 1.2519180E+002
 3.4501833E+002, 2.0167156E+001, 8.4819304E+001, 1.2501391E+002
 3.4600591E+002, 2.0159177E+001, 8.5902155E+001, 1.2565106E+002
 3.4700381E+002, 2.0164992E+001, 7.6725885E+001, 1.2713160E+002
