s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
 3.2010666E+001, 6.2032096E+001,-1.8349429E+001,-2.0052772E+001,-9.3883748E+000,-3.9524048E-003, 0.0000000E+000, 0.0000000E+000, 1.4205101E+001, 1.4237567E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.3020798E+001, 6.2980473E+001,-1.8753840E+001,-2.1492908E+001,-9.2425809E+000,-3.9218073E-003, 0.0000000E+000, 0.0000000E+000, 1.3562411E+001, 1.3487223E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.4020599E+001, 6.2923306E+001,-1.8604266E+001,-2.2108158E+001,-9.3204240E+000,-3.9395637E-003, 0.0000000E+000, 0.0000000E+000, 1.2893531E+001, 1.2886518E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.5001080E+001, 6.2988547E+001,-1.8952609E+001,-2.2215019E+001,-9.3589179E+000,-3.9225618E-003, 0.0000000E+000, 0.0000000E+000, 1.2339100E+001, 1.2458079E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.6007126E+001, 6.3444283E+001,-1.9258608E+001,-2.2058021E+001,-9.3832334E+000,-3.9592740E-003, 0.0000000E+000, 0.0000000E+000, 1.2779357E+001, 1.2740462E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.7017628E+001, 6.2913656E+001,-1.9158292E+001,-2.2902593E+001,-9.5270410E+000,-3.9134794E-003, 0.0000000E+000, 0.0000000E+000, 1.1337062E+001, 1.1321817E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.8007004E+001, 6.2373008E+001,-1.9114284E+001,-2.4112771E+001,-9.8324227E+000,-3.8841207E-003, 0.0000000E+000, 0.0000000E+000, 9.3540825E+000, 9.3096465E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.9017818E+001, 6.3545300E+001,-1.9177648E+001,-2.2463543E+001,-1.0029107E+001,-3.9426703E-003, 0.0000000E+000, 0.0000000E+000, 1.1852537E+001, 1.1871059E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.0009335E+001, 6.2975967E+001,-1.9554442E+001,-2.5264978E+001,-1.0140919E+001,-3.9358860E-003, 0.0000000E+000, 0.0000000E+000, 7.9691381E+000, 8.0116910E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.1015324E+001, 6.2864667E+001,-1.9314195E+001,-2.3789927E+001,-9.9192993E+000,-3.9421869E-003, 0.0000000E+000, 0.0000000E+000, 9.8158743E+000, 9.8373036E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.2010044E+001, 6.2839359E+001,-1.9393236E+001,-2.6821218E+001,-9.8253831E+000,-3.9624067E-003, 0.0000000E+000, 0.0000000E+000, 6.8323132E+000, 6.7955596E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.3016319E+001, 6.2838946E+001,-1.9286145E+001,-2.6495284E+001,-9.8846542E+000,-3.8663734E-003, 0.0000000E+000, 0.0000000E+000, 7.2078907E+000, 7.1689963E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.4017483E+001, 6.3179550E+001,-1.9587007E+001,-2.5245764E+001,-1.0114124E+001,-3.9079951E-003, 0.0000000E+000, 0.0000000E+000, 8.2107076E+000, 8.2287474E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.5018684E+001, 6.3028029E+001,-1.9824391E+001,-2.4233639E+001,-9.9851617E+000,-3.8397937E-003, 0.0000000E+000, 0.0000000E+000, 8.9316258E+000, 8.9809977E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.6010017E+001, 6.3502079E+001,-1.9902501E+001,-2.9250611E+001,-1.0048642E+001,-3.8882595E-003, 0.0000000E+000, 0.0000000E+000, 4.3227387E+000, 4.2964370E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.7020645E+001, 6.2666305E+001,-1.9550712E+001,-2.4692471E+001,-1.0139963E+001,-3.9424652E-003, 0.0000000E+000, 0.0000000E+000, 8.2263298E+000, 8.2792171E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.8003738E+001, 6.2853632E+001,-1.9595927E+001,-2.7901720E+001,-1.0155824E+001,-3.9789866E-003, 0.0000000E+000, 0.0000000E+000, 5.2380979E+000, 5.1961818E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 4.9019974E+001, 6.3014618E+001,-1.9699861E+001,-2.7299206E+001,-1.0187285E+001,-3.9533962E-003, 0.0000000E+000, 0.0000000E+000, 5.7914655E+000, 5.8243126E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.0024662E+001, 6.2743879E+001,-1.9879800E+001,-2.7703218E+001,-1.0342857E+001,-3.8827839E-003, 0.0000000E+000, 0.0000000E+000, 4.8306689E+000, 4.8141216E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.1012062E+001, 6.3411773E+001,-1.9953833E+001,-2.7525546E+001,-1.0232535E+001,-3.9562837E-003, 0.0000000E+000, 0.0000000E+000, 5.5848091E+000, 5.6959036E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.2013607E+001, 6.3022755E+001,-2.0092745E+001,-2.9324635E+001,-1.0132622E+001,-3.9514390E-003, 0.0000000E+000, 0.0000000E+000, 3.5434636E+000, 3.4688024E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.3001675E+001, 6.2843069E+001,-1.9653595E+001,-2.6413259E+001,-1.0109851E+001,-3.9721469E-003, 0.0000000E+000, 0.0000000E+000, 6.6064179E+000, 6.6623919E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.4015022E+001, 6.3091027E+001,-1.9986355E+001,-2.7608526E+001,-1.0239530E+001,-3.9967129E-003, 0.0000000E+000, 0.0000000E+000, 5.2831020E+000, 5.2526196E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.5012882E+001, 6.2678601E+001,-1.9964798E+001,-2.9843161E+001,-1.0211221E+001,-3.9332607E-003, 0.0000000E+000, 0.0000000E+000, 2.6383237E+000, 2.6554889E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.6024014E+001, 6.3256033E+001,-1.9965286E+001,-2.6594142E+001,-1.0377081E+001,-3.9367367E-003, 0.0000000E+000, 0.0000000E+000, 6.3254717E+000, 6.3155863E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.7011074E+001, 6.3282467E+001,-2.0228119E+001,-2.8879683E+001,-1.0312224E+001,-3.8751363E-003, 0.0000000E+000, 0.0000000E+000, 3.8275238E+000, 3.8585653E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.8022892E+001, 6.2957439E+001,-2.0017959E+001,-2.6720947E+001,-1.0282183E+001,-3.9072397E-003, 0.0000000E+000, 0.0000000E+000, 5.9483735E+000, 5.9324437E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 5.9017281E+001, 6.3521003E+001,-2.0219321E+001,-2.9227130E+001,-1.0157571E+001,-3.9097946E-003, 0.0000000E+000, 0.0000000E+000, 3.9770980E+000, 3.9130710E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.0020374E+001, 6.3239210E+001,-2.0271457E+001,-2.7635292E+001,-1.0290353E+001,-3.9556226E-003, 0.0000000E+000, 0.0000000E+000, 5.0124389E+000, 5.0381519E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.1006065E+001, 6.2451635E+001,-1.9838489E+001,-3.0248373E+001,-1.0540803E+001,-3.9711395E-003, 0.0000000E+000, 0.0000000E+000, 1.7048724E+000, 1.8199992E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.2023930E+001, 6.2927871E+001,-2.0603325E+001,-2.9689384E+001,-1.0597592E+001,-3.9999113E-003, 0.0000000E+000, 0.0000000E+000, 2.1463478E+000, 2.0335700E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.3001713E+001, 6.3128525E+001,-2.0120247E+001,-2.9065039E+001,-1.0503890E+001,-3.9856557E-003, 0.0000000E+000, 0.0000000E+000, 3.4658072E+000, 3.4353637E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.4001694E+001, 6.2844716E+001,-2.0184949E+001,-2.8584116E+001,-1.0523113E+001,-3.9680605E-003, 0.0000000E+000, 0.0000000E+000, 3.4883752E+000, 3.5485704E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.5008743E+001, 6.3440356E+001,-2.0388150E+001,-3.0086138E+001,-1.0549010E+001,-3.9884767E-003, 0.0000000E+000, 0.0000000E+000, 2.3209785E+000, 2.4130696E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.6017944E+001, 6.2732139E+001,-2.0228623E+001,-2.7213897E+001,-1.0687796E+001,-3.9776215E-003, 0.0000000E+000, 0.0000000E+000, 4.6520054E+000, 4.5978451E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.7002777E+001, 6.2677807E+001,-2.0447204E+001,-3.1411737E+001,-1.0503285E+001,-3.9122138E-003, 0.0000000E+000, 0.0000000E+000, 3.0285876E-001, 3.1166883E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.8006500E+001, 6.3550486E+001,-2.0179744E+001,-2.8158655E+001,-1.0580304E+001,-3.9979364E-003, 0.0000000E+000, 0.0000000E+000, 4.6923515E+000, 4.6277849E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 6.9003571E+001, 6.2715856E+001,-2.0408610E+001,-3.1655953E+001,-1.0314990E+001,-3.8991863E-003, 0.0000000E+000, 0.0000000E+000, 2.7745346E-001, 3.3240377E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.0010040E+001, 6.3124360E+001,-2.0512662E+001,-3.1817436E+001,-1.0415665E+001,-3.8161881E-003, 0.0000000E+000, 0.0000000E+000, 3.5225797E-001, 3.7478174E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.1011520E+001, 6.3056609E+001,-2.0334992E+001,-2.7147872E+001,-1.0520630E+001,-3.9477891E-003, 0.0000000E+000, 0.0000000E+000, 4.9926132E+000, 5.0491668E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.2019310E+001, 6.2900004E+001,-2.0401145E+001,-3.1034287E+001,-1.0796976E+001,-3.9639094E-003, 0.0000000E+000, 0.0000000E+000, 7.4610636E-001, 6.6363254E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.3007416E+001, 6.2912998E+001,-2.0557837E+001,-2.9241304E+001,-1.0701551E+001,-3.8670378E-003, 0.0000000E+000, 0.0000000E+000, 2.3680908E+000, 2.4084393E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.4007591E+001, 6.2980780E+001,-2.0403230E+001,-3.0002981E+001,-1.0656400E+001,-3.9196610E-003, 0.0000000E+000, 0.0000000E+000, 1.8572550E+000, 1.9142499E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.5007774E+001, 6.2855168E+001,-2.0404247E+001,-3.4366218E+001,-1.0473268E+001,-3.9984649E-003, 0.0000000E+000, 0.0000000E+000,-2.3537535E+000,-2.3925634E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.6009247E+001, 6.3142727E+001,-2.0500937E+001,-2.9462000E+001,-1.0255782E+001,-3.9279044E-003, 0.0000000E+000, 0.0000000E+000, 2.8455460E+000, 2.9200801E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.7002899E+001, 6.2837696E+001,-2.0491505E+001,-3.0682642E+001,-1.0425516E+001,-3.8643123E-003, 0.0000000E+000, 0.0000000E+000, 1.2512339E+000, 1.2341681E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.8021286E+001, 6.3159804E+001,-2.0692278E+001,-2.9151383E+001,-1.0456107E+001,-3.9421489E-003, 0.0000000E+000, 0.0000000E+000, 2.8710301E+000, 2.8560937E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 7.9011040E+001, 6.2936725E+001,-2.0436293E+001,-3.0467864E+001,-1.0415930E+001,-3.9609317E-003, 0.0000000E+000, 0.0000000E+000, 1.5515962E+000, 1.6126782E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.0013260E+001, 6.3102135E+001,-2.0554307E+001,-3.2691217E+001,-1.0266253E+001,-3.9358419E-003, 0.0000000E+000, 0.0000000E+000,-4.0801827E-001,-4.1357779E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.1009995E+001, 6.2953182E+001,-2.0695203E+001,-2.9984127E+001,-1.0242176E+001,-3.9348872E-003, 0.0000000E+000, 0.0000000E+000, 2.0128831E+000, 2.0277405E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.2020584E+001, 6.3070460E+001,-2.0307566E+001,-2.8727468E+001,-1.0406411E+001,-3.9796944E-003, 0.0000000E+000, 0.0000000E+000, 3.6737639E+000, 3.6250356E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.3004684E+001, 6.2630272E+001,-2.0445841E+001,-3.2266030E+001,-1.0381677E+001,-3.8837748E-003, 0.0000000E+000, 0.0000000E+000,-4.7102103E-001,-4.6715952E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.4008034E+001, 6.3159079E+001,-2.0738934E+001,-2.9391352E+001,-1.0273860E+001,-3.9746781E-003, 0.0000000E+000, 0.0000000E+000, 2.8042563E+000, 2.7509583E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.5014359E+001, 6.3540032E+001,-2.0724950E+001,-3.0913826E+001,-1.0122401E+001,-3.9760237E-003, 0.0000000E+000, 0.0000000E+000, 1.8754998E+000, 1.7748798E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.6010818E+001, 6.2828684E+001,-2.0221033E+001,-3.0272605E+001,-9.9428107E+000,-3.9654246E-003, 0.0000000E+000, 0.0000000E+000, 2.3069021E+000, 2.3882696E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.7009911E+001, 6.3472655E+001,-2.0739758E+001,-2.9069392E+001,-9.9621869E+000,-3.9974648E-003, 0.0000000E+000, 0.0000000E+000, 3.7299763E+000, 3.6973202E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.8012955E+001, 6.2433987E+001,-2.0590903E+001,-3.5577877E+001,-9.8306325E+000,-3.8197863E-003, 0.0000000E+000, 0.0000000E+000,-3.6310924E+000,-3.5692442E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 8.9018341E+001, 6.3167868E+001,-2.0421621E+001,-2.9464668E+001,-9.9525327E+000,-3.8762036E-003, 0.0000000E+000, 0.0000000E+000, 3.3103162E+000, 3.3251695E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.0020538E+001, 6.2981571E+001,-2.0572649E+001,-2.9782048E+001,-1.0063963E+001,-4.0183156E-003, 0.0000000E+000, 0.0000000E+000, 2.6115842E+000, 2.5588922E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.1001328E+001, 6.3270189E+001,-2.0734831E+001,-2.9460903E+001,-9.9522554E+000,-4.0257060E-003, 0.0000000E+000, 0.0000000E+000, 3.1031821E+000, 3.1181738E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.2016617E+001, 6.2731835E+001,-2.0383894E+001,-3.3247799E+001,-9.9949219E+000,-3.9567169E-003, 0.0000000E+000, 0.0000000E+000,-9.3367182E-001,-8.9873689E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.3001549E+001, 6.2942874E+001,-2.0592174E+001,-3.1434252E+001,-1.0205295E+001,-3.8884106E-003, 0.0000000E+000, 0.0000000E+000, 6.5851218E-001, 7.0726430E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.4000229E+001, 6.3130397E+001,-2.0593550E+001,-2.8744267E+001,-1.0389864E+001,-3.8986802E-003, 0.0000000E+000, 0.0000000E+000, 3.4018031E+000, 3.3988166E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.5005600E+001, 6.3335160E+001,-2.0780895E+001,-3.2506790E+001,-1.0415548E+001,-3.9684978E-003, 0.0000000E+000, 0.0000000E+000,-4.2205445E-001,-3.7204146E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.6021667E+001, 6.2366497E+001,-2.0324218E+001,-3.1369280E+001,-1.0236735E+001,-3.9485377E-003, 0.0000000E+000, 0.0000000E+000, 4.5493234E-001, 4.3231631E-001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.7009926E+001, 6.3456267E+001,-2.0752289E+001,-2.8843985E+001,-9.9392727E+000,-3.9099429E-003, 0.0000000E+000, 0.0000000E+000, 3.9387686E+000, 3.9168098E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.8021721E+001, 6.2615671E+001,-2.0386272E+001,-3.4034134E+001,-9.9493519E+000,-3.9626624E-003, 0.0000000E+000, 0.0000000E+000,-1.7407014E+000,-1.7580485E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 9.9014473E+001, 6.3578317E+001,-2.0857342E+001,-3.2824343E+001,-9.9881561E+000,-3.9306955E-003, 0.0000000E+000, 0.0000000E+000,-1.5904619E-001,-9.5454894E-002, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0001022E+002, 6.2643181E+001,-2.0476344E+001,-3.0294794E+001,-1.0006379E+001,-3.8797094E-003, 0.0000000E+000, 0.0000000E+000, 1.8480453E+000, 1.8617852E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0100752E+002, 6.3360168E+001,-2.0725551E+001,-3.1023214E+001,-1.0045980E+001,-3.9599624E-003, 0.0000000E+000, 0.0000000E+000, 1.6394506E+000, 1.5614630E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0200634E+002, 6.2827911E+001,-2.0627659E+001,-3.4653159E+001,-9.9473968E+000,-3.9401002E-003, 0.0000000E+000, 0.0000000E+000,-2.4399486E+000,-2.4042445E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0302058E+002, 6.3113089E+001,-2.0694548E+001,-2.9076579E+001,-9.8152295E+000,-3.9150322E-003, 0.0000000E+000, 0.0000000E+000, 3.4466380E+000, 3.5228174E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0400143E+002, 6.3407606E+001,-2.0506976E+001,-3.5159572E+001,-1.0111669E+001,-3.9867161E-003, 0.0000000E+000, 0.0000000E+000,-2.3216242E+000,-2.3745984E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.0502069E+002, 6.2644095E+001,-2.0750864E+001,-2.9802945E+001,-1.0050639E+001,-3.9511564E-003, 0.0000000E+000, 0.0000000E+000, 2.0146714E+000, 2.0356958E+000, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
