s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
 4.8089199E+000, 1.5520867E+002,-1.8039593E+001, 3.6874903E+000,-1.1087709E+001, 8.5116970E-001, 0.0000000E+000, 0.0000000E+000, 1.3074983E+002, 1.3062003E+002, 0.0000000E+000, 3.3329901E-003, 0.0000000E+000
 5.1050658E+000, 1.6269536E+002,-1.8993798E+001, 4.2369080E+000,-1.2024021E+001, 8.7995064E-001, 0.0000000E+000, 0.0000000E+000, 1.3576979E+002, 1.3679440E+002, 0.0000000E+000, 3.3332650E-003, 0.0000000E+000
 5.4041190E+000, 1.6181041E+002,-1.6692304E+001, 4.4958224E+000,-1.2195545E+001, 8.9460069E-001, 0.0000000E+000, 0.0000000E+000, 1.3821522E+002, 1.3831298E+002, 0.0000000E+000, 3.3334135E-003, 0.0000000E+000
 5.7068067E+000, 1.5435332E+002,-1.9318175E+001, 4.2034913E+000,-1.2724539E+001, 8.9562516E-001, 0.0000000E+000, 0.0000000E+000, 1.2688009E+002, 1.2740972E+002, 0.0000000E+000, 3.3334961E-003, 0.0000000E+000
 6.0050569E+000, 1.6288618E+002,-2.0317439E+001, 3.7243913E+000,-1.3610456E+001, 8.5034075E-001, 0.0000000E+000, 0.0000000E+000, 1.3357100E+002, 1.3353302E+002, 0.0000000E+000, 3.3335412E-003, 0.0000000E+000
 6.3010712E+000, 1.5751171E+002,-2.0564421E+001, 2.9689843E+000,-1.4128495E+001, 8.4430131E-001, 0.0000000E+000, 0.0000000E+000, 1.2651687E+002, 1.2663208E+002, 0.0000000E+000, 3.3335658E-003, 0.0000000E+000
 6.6071644E+000, 1.5779069E+002,-1.9700960E+001, 2.3299152E+000,-1.5150494E+001, 8.4751751E-001, 0.0000000E+000, 0.0000000E+000, 1.2607964E+002, 1.2611667E+002, 0.0000000E+000, 3.3335794E-003, 0.0000000E+000
 6.9077902E+000, 1.6564785E+002,-2.1727490E+001, 2.2186138E+000,-1.6429730E+001, 8.8025804E-001, 0.0000000E+000, 0.0000000E+000, 1.3077719E+002, 1.3058950E+002, 0.0000000E+000, 3.3335870E-003, 0.0000000E+000
 7.2008214E+000, 1.6012368E+002,-2.0193925E+001, 2.6001358E+000,-1.7074618E+001, 8.6402911E-001, 0.0000000E+000, 0.0000000E+000, 1.2619797E+002, 1.2631930E+002, 0.0000000E+000, 3.3335911E-003, 0.0000000E+000
 7.5049076E+000, 1.6485447E+002,-1.9651188E+001, 3.2376778E+000,-1.7380974E+001, 8.7977136E-001, 0.0000000E+000, 0.0000000E+000, 1.3188882E+002, 1.3193976E+002, 0.0000000E+000, 3.3335933E-003, 0.0000000E+000
 7.8001013E+000, 1.4605626E+002,-1.7233241E+001, 3.7987403E+000,-1.7680334E+001, 8.4258946E-001, 0.0000000E+000, 0.0000000E+000, 1.1626207E+002, 1.1578401E+002, 0.0000000E+000, 3.3335946E-003, 0.0000000E+000
 8.1077995E+000, 1.6526131E+002,-2.3615335E+001, 4.1158345E+000,-1.8309875E+001, 8.5437066E-001, 0.0000000E+000, 0.0000000E+000, 1.2719959E+002, 1.2830630E+002, 0.0000000E+000, 3.3335952E-003, 0.0000000E+000
 8.4034824E+000, 1.6100243E+002,-2.1728610E+001, 3.9491077E+000,-1.8558648E+001, 8.5785213E-001, 0.0000000E+000, 0.0000000E+000, 1.2591567E+002, 1.2552213E+002, 0.0000000E+000, 3.3335956E-003, 0.0000000E+000
 8.7086344E+000, 1.5622097E+002,-2.0434713E+001, 3.3771578E+000,-1.9171664E+001, 8.6616886E-001, 0.0000000E+000, 0.0000000E+000, 1.2077364E+002, 1.2085792E+002, 0.0000000E+000, 3.3335958E-003, 0.0000000E+000
 9.0010567E+000, 1.6306781E+002,-2.4175282E+001, 2.7237117E+000,-1.9419726E+001, 8.3172584E-001, 0.0000000E+000, 0.0000000E+000, 1.2355724E+002, 1.2302825E+002, 0.0000000E+000, 3.3335959E-003, 0.0000000E+000
 9.3051147E+000, 1.6276584E+002,-2.2272429E+001, 2.1756906E+000,-1.9724061E+001, 8.2855562E-001, 0.0000000E+000, 0.0000000E+000, 1.2229410E+002, 1.2377360E+002, 0.0000000E+000, 3.3335960E-003, 0.0000000E+000
 9.6073046E+000, 1.5740466E+002,-2.1355118E+001, 2.2377168E+000,-2.0168490E+001, 8.2583756E-001, 0.0000000E+000, 0.0000000E+000, 1.1964406E+002, 1.1894461E+002, 0.0000000E+000, 3.3335960E-003, 0.0000000E+000
 9.9018679E+000, 1.5511960E+002,-2.1808617E+001, 2.7094805E+000,-2.0375377E+001, 8.4794354E-001, 0.0000000E+000, 0.0000000E+000, 1.1585554E+002, 1.1649303E+002, 0.0000000E+000, 3.3335960E-003, 0.0000000E+000
 1.0204321E+001, 1.7158179E+002,-2.4924797E+001, 3.3476837E+000,-2.0355919E+001, 8.7688332E-001, 0.0000000E+000, 0.0000000E+000, 1.3047755E+002, 1.3052564E+002, 0.0000000E+000, 3.3335960E-003, 0.0000000E+000
 1.0502965E+001, 1.5647569E+002,-2.1994563E+001, 3.8990490E+000,-2.0483980E+001, 8.8962656E-001, 0.0000000E+000, 0.0000000E+000, 1.1939831E+002, 1.1878582E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.0801329E+001, 1.5591917E+002,-2.2537645E+001, 4.2245643E+000,-2.0968848E+001, 8.4228066E-001, 0.0000000E+000, 0.0000000E+000, 1.1824122E+002, 1.1747952E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.1104286E+001, 1.6950825E+002,-2.4568068E+001, 3.9409160E+000,-2.1078237E+001, 9.0405980E-001, 0.0000000E+000, 0.0000000E+000, 1.2889283E+002, 1.2870692E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.1402411E+001, 1.5634082E+002,-2.4767424E+001, 3.3974076E+000,-2.1058978E+001, 8.8498388E-001, 0.0000000E+000, 0.0000000E+000, 1.1554677E+002, 1.1479681E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.1706732E+001, 1.5381055E+002,-2.1385297E+001, 2.6790273E+000,-2.1377755E+001, 8.6666761E-001, 0.0000000E+000, 0.0000000E+000, 1.1450283E+002, 1.1459319E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.2002650E+001, 1.5539261E+002,-2.1428181E+001, 2.2106405E+000,-2.0861826E+001, 8.4911429E-001, 0.0000000E+000, 0.0000000E+000, 1.1466986E+002, 1.1616236E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.2300333E+001, 1.6498764E+002,-2.3399944E+001, 2.2470725E+000,-2.0789649E+001, 8.7063360E-001, 0.0000000E+000, 0.0000000E+000, 1.2313759E+002, 1.2391575E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.2605963E+001, 1.6575181E+002,-2.1736838E+001, 2.7494546E+000,-2.0810056E+001, 8.5073173E-001, 0.0000000E+000, 0.0000000E+000, 1.2644170E+002, 1.2680511E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.2908537E+001, 1.5791084E+002,-1.9239343E+001, 3.3433132E+000,-2.1014789E+001, 8.5805628E-001, 0.0000000E+000, 0.0000000E+000, 1.2223009E+002, 1.2185808E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.3203406E+001, 1.5499248E+002,-2.2126081E+001, 3.7541049E+000,-2.1051871E+001, 8.8394903E-001, 0.0000000E+000, 0.0000000E+000, 1.1765801E+002, 1.1645258E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.3509818E+001, 1.5402898E+002,-2.3113013E+001, 3.8634303E+000,-2.1348194E+001, 8.3901713E-001, 0.0000000E+000, 0.0000000E+000, 1.1439589E+002, 1.1427022E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.3800572E+001, 1.6847505E+002,-2.4689557E+001, 3.6880859E+000,-2.1639298E+001, 8.5147523E-001, 0.0000000E+000, 0.0000000E+000, 1.2687574E+002, 1.2668575E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.4101354E+001, 1.5574088E+002,-2.2387635E+001, 3.2723114E+000,-2.1791291E+001, 8.5845372E-001, 0.0000000E+000, 0.0000000E+000, 1.1669672E+002, 1.1569272E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.4400807E+001, 1.6400051E+002,-2.5816917E+001, 2.8057718E+000,-2.2317485E+001, 8.4524641E-001, 0.0000000E+000, 0.0000000E+000, 1.1885865E+002, 1.1951713E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.4700241E+001, 1.6110032E+002,-2.5348569E+001, 2.3801415E+000,-2.2318712E+001, 8.5422097E-001, 0.0000000E+000, 0.0000000E+000, 1.1590997E+002, 1.1666740E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.5007092E+001, 1.5941233E+002,-2.4378804E+001, 2.2370983E+000,-2.2905043E+001, 8.5733160E-001, 0.0000000E+000, 0.0000000E+000, 1.1327044E+002, 1.1522292E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.5307185E+001, 1.6611289E+002,-2.4530673E+001, 2.4954656E+000,-2.3607476E+001, 8.9855196E-001, 0.0000000E+000, 0.0000000E+000, 1.2068846E+002, 1.2136876E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.5607601E+001, 1.5749012E+002,-2.4568317E+001, 2.9006996E+000,-2.3763509E+001, 8.6952314E-001, 0.0000000E+000, 0.0000000E+000, 1.1290170E+002, 1.1292852E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.5908862E+001, 1.5407788E+002,-2.2040269E+001, 3.3137632E+000,-2.3436706E+001, 8.4453884E-001, 0.0000000E+000, 0.0000000E+000, 1.1322715E+002, 1.1275921E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.6207102E+001, 1.6276843E+002,-2.2768561E+001, 3.5362636E+000,-2.3796079E+001, 8.7688238E-001, 0.0000000E+000, 0.0000000E+000, 1.2020571E+002, 1.2061694E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.6501211E+001, 1.7542466E+002,-2.5200881E+001, 3.6328746E+000,-2.4185621E+001, 9.0936451E-001, 0.0000000E+000, 0.0000000E+000, 1.3103668E+002, 1.3058040E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.6805899E+001, 1.4839018E+002,-2.3102777E+001, 3.5305039E+000,-2.3821759E+001, 8.9907188E-001, 0.0000000E+000, 0.0000000E+000, 1.0784524E+002, 1.0589522E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.7109476E+001, 1.5808406E+002,-2.3582141E+001, 3.1458857E+000,-2.3853834E+001, 8.8558323E-001, 0.0000000E+000, 0.0000000E+000, 1.1519830E+002, 1.1467955E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.7403639E+001, 1.5781844E+002,-2.5759645E+001, 2.6001728E+000,-2.3637216E+001, 8.7128725E-001, 0.0000000E+000, 0.0000000E+000, 1.1075975E+002, 1.1189304E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.7705040E+001, 1.5718403E+002,-2.5040441E+001, 2.2552102E+000,-2.4379534E+001, 8.4729306E-001, 0.0000000E+000, 0.0000000E+000, 1.0943583E+002, 1.1086655E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.8001263E+001, 1.6297211E+002,-2.7252997E+001, 2.1508968E+000,-2.4556721E+001, 8.3972908E-001, 0.0000000E+000, 0.0000000E+000, 1.1263885E+002, 1.1415302E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.8300219E+001, 1.5925457E+002,-2.8424789E+001, 2.2615844E+000,-2.5224323E+001, 8.5492464E-001, 0.0000000E+000, 0.0000000E+000, 1.0945719E+002, 1.0872197E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.8609177E+001, 1.5819557E+002,-2.7844953E+001, 2.4023331E+000,-2.6005146E+001, 8.6621444E-001, 0.0000000E+000, 0.0000000E+000, 1.0681388E+002, 1.0761402E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.8911106E+001, 1.6132420E+002,-2.5871574E+001, 2.4930201E+000,-2.6186759E+001, 8.5527206E-001, 0.0000000E+000, 0.0000000E+000, 1.1271288E+002, 1.1261416E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.9201412E+001, 1.6302909E+002,-2.5993273E+001, 2.6019782E+000,-2.6661512E+001, 8.6955703E-001, 0.0000000E+000, 0.0000000E+000, 1.1369411E+002, 1.1384584E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.9508728E+001, 1.5714284E+002,-2.4439351E+001, 2.7362528E+000,-2.6893023E+001, 8.5998481E-001, 0.0000000E+000, 0.0000000E+000, 1.1120674E+002, 1.0940670E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 1.9800913E+001, 1.6733543E+002,-2.8217908E+001, 2.5654102E+000,-2.7010321E+001, 8.7432510E-001, 0.0000000E+000, 0.0000000E+000, 1.1599685E+002, 1.1554694E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.0100212E+001, 1.5629965E+002,-2.4650274E+001, 2.1650976E+000,-2.6605582E+001, 8.7003239E-001, 0.0000000E+000, 0.0000000E+000, 1.0836136E+002, 1.0807892E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.0410772E+001, 1.5970132E+002,-2.5835733E+001, 1.6662186E+000,-2.6798638E+001, 8.8488811E-001, 0.0000000E+000, 0.0000000E+000, 1.0873507E+002, 1.0961806E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.0703321E+001, 1.6055593E+002,-2.8196291E+001, 1.2609202E+000,-2.7069238E+001, 8.5993381E-001, 0.0000000E+000, 0.0000000E+000, 1.0623223E+002, 1.0741125E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.1007938E+001, 1.6406876E+002,-2.8204600E+001, 9.3277308E-001,-2.8126840E+001, 8.7951867E-001, 0.0000000E+000, 0.0000000E+000, 1.0837578E+002, 1.0954961E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.1304892E+001, 1.4561299E+002,-2.6763202E+001, 7.1989548E-001,-2.9012110E+001, 8.3218661E-001, 0.0000000E+000, 0.0000000E+000, 9.1783803E+001, 9.1389761E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.1604965E+001, 1.6967322E+002,-3.1750246E+001, 3.9836927E-001,-2.9592739E+001, 8.3548357E-001, 0.0000000E+000, 0.0000000E+000, 1.0813305E+002, 1.0956409E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.1900038E+001, 1.6146291E+002,-2.7767297E+001, 2.9055496E-001,-2.9948210E+001, 8.2985529E-001, 0.0000000E+000, 0.0000000E+000, 1.0461378E+002, 1.0486781E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.2207787E+001, 1.4802364E+002,-2.5732034E+001, 5.2408716E-001,-3.0578249E+001, 8.2044260E-001, 0.0000000E+000, 0.0000000E+000, 9.4591153E+001, 9.3057887E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.2501959E+001, 1.7114361E+002,-3.0771425E+001, 5.6795123E-001,-3.1229959E+001, 8.5797848E-001, 0.0000000E+000, 0.0000000E+000, 1.1052554E+002, 1.1056816E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.2808279E+001, 1.5886919E+002,-2.8733739E+001, 4.4534252E-001,-3.1216886E+001, 8.3946134E-001, 0.0000000E+000, 0.0000000E+000, 1.0138850E+002, 1.0020337E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.3102688E+001, 1.6468651E+002,-3.0977402E+001, 4.6590495E-002,-3.1558211E+001, 8.5330923E-001, 0.0000000E+000, 0.0000000E+000, 1.0301768E+002, 1.0305079E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.3402113E+001, 1.5242124E+002,-2.9962298E+001,-2.9141788E-001,-3.1837077E+001, 8.4655516E-001, 0.0000000E+000, 0.0000000E+000, 9.1074626E+001, 9.1177005E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.3700218E+001, 1.6644796E+002,-3.3080572E+001,-5.3103534E-001,-3.2151038E+001, 8.5252389E-001, 0.0000000E+000, 0.0000000E+000, 1.0085180E+002, 1.0153784E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.4008577E+001, 1.5514584E+002,-2.9167840E+001,-4.5431288E-001,-3.2520920E+001, 8.3377433E-001, 0.0000000E+000, 0.0000000E+000, 9.2867907E+001, 9.3836542E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.4307627E+001, 1.6402210E+002,-3.1085413E+001,-4.8149607E-001,-3.2622339E+001, 8.4290127E-001, 0.0000000E+000, 0.0000000E+000, 9.9959290E+001, 1.0067575E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.4608507E+001, 1.5594747E+002,-2.7870081E+001,-5.2315809E-001,-3.3045634E+001, 8.4541837E-001, 0.0000000E+000, 0.0000000E+000, 9.4516565E+001, 9.5354011E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.4908720E+001, 1.6613689E+002,-3.0626353E+001,-6.6192339E-001,-3.3020789E+001, 8.6377722E-001, 0.0000000E+000, 0.0000000E+000, 1.0229619E+002, 1.0269160E+002, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.5204363E+001, 1.5881198E+002,-2.9058891E+001,-7.2772454E-001,-3.2861100E+001, 8.4084172E-001, 0.0000000E+000, 0.0000000E+000, 9.7898866E+001, 9.7005109E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.5500763E+001, 1.5302900E+002,-2.9404527E+001,-1.8373415E+000,-3.2928779E+001, 8.2122440E-001, 0.0000000E+000, 0.0000000E+000, 9.1380343E+001, 8.9679574E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.5807177E+001, 1.6096433E+002,-3.1696962E+001,-3.8713240E+000,-3.2782607E+001, 8.1944304E-001, 0.0000000E+000, 0.0000000E+000, 9.3053702E+001, 9.3432875E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.6103243E+001, 1.6719999E+002,-3.3546310E+001,-4.5721486E+000,-3.2737295E+001, 8.4201947E-001, 0.0000000E+000, 0.0000000E+000, 9.7018589E+001, 9.7186257E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.6405416E+001, 1.6296252E+002,-3.3541090E+001,-4.4100276E+000,-3.3099211E+001, 8.6604931E-001, 0.0000000E+000, 0.0000000E+000, 9.3425613E+001, 9.2778244E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.6703653E+001, 1.5490259E+002,-3.1315651E+001,-3.9123355E+000,-3.3086035E+001, 8.8122833E-001, 0.0000000E+000, 0.0000000E+000, 8.7007201E+001, 8.7469799E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.7009495E+001, 1.6005708E+002,-3.1799547E+001,-3.4333159E+000,-3.3271680E+001, 8.6707775E-001, 0.0000000E+000, 0.0000000E+000, 9.1996336E+001, 9.2419619E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.7304871E+001, 1.6006519E+002,-3.1627924E+001,-3.2191641E+000,-3.3405193E+001, 8.6656454E-001, 0.0000000E+000, 0.0000000E+000, 9.1020683E+001, 9.2679472E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.7608700E+001, 1.6540270E+002,-3.2259929E+001,-3.3833727E+000,-3.3774109E+001, 8.8184780E-001, 0.0000000E+000, 0.0000000E+000, 9.7088991E+001, 9.6867139E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.7900604E+001, 1.4975549E+002,-3.2460660E+001,-3.4804997E+000,-3.3803638E+001, 8.5279545E-001, 0.0000000E+000, 0.0000000E+000, 8.2305606E+001, 8.0863487E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.8207495E+001, 1.6378396E+002,-3.4465823E+001,-4.0168784E+000,-3.4076921E+001, 8.4751879E-001, 0.0000000E+000, 0.0000000E+000, 9.1503273E+001, 9.2071861E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.8508022E+001, 1.5904234E+002,-3.4780822E+001,-4.9572632E+000,-3.4141562E+001, 8.5333939E-001, 0.0000000E+000, 0.0000000E+000, 8.5972020E+001, 8.6016034E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.8802925E+001, 1.5668533E+002,-3.1878067E+001,-5.5205826E+000,-3.4747348E+001, 8.4366171E-001, 0.0000000E+000, 0.0000000E+000, 8.4958382E+001, 8.5382996E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.9110168E+001, 1.6090000E+002,-3.1998681E+001,-5.6594252E+000,-3.5030437E+001, 8.6239838E-001, 0.0000000E+000, 0.0000000E+000, 8.8178133E+001, 8.9073852E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.9401167E+001, 1.6675673E+002,-3.2793140E+001,-5.8764254E+000,-3.5280531E+001, 8.7457152E-001, 0.0000000E+000, 0.0000000E+000, 9.3396713E+001, 9.3681203E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 2.9703178E+001, 1.5931517E+002,-3.2052088E+001,-5.7761078E+000,-3.5617072E+001, 8.4525224E-001, 0.0000000E+000, 0.0000000E+000, 8.7234858E+001, 8.6715154E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.0008026E+001, 1.5597384E+002,-3.2904889E+001,-5.3963685E+000,-3.5904794E+001, 8.5600250E-001, 0.0000000E+000, 0.0000000E+000, 8.2278021E+001, 8.2623788E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.0304686E+001, 1.6163217E+002,-3.1946039E+001,-5.0546698E+000,-3.6019974E+001, 8.5565910E-001, 0.0000000E+000, 0.0000000E+000, 8.9939022E+001, 8.9467148E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.0604889E+001, 1.6553231E+002,-3.5451730E+001,-4.3075096E+000,-3.5873892E+001, 8.7318837E-001, 0.0000000E+000, 0.0000000E+000, 9.1315637E+001, 9.0772366E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.0906210E+001, 1.5308045E+002,-3.3219250E+001,-4.0178832E+000,-3.5658350E+001, 8.4403070E-001, 0.0000000E+000, 0.0000000E+000, 8.1857255E+001, 8.1028999E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.1206598E+001, 1.6416166E+002,-3.6232827E+001,-4.5944180E+000,-3.6001197E+001, 8.3039991E-001, 0.0000000E+000, 0.0000000E+000, 8.7428432E+001, 8.8163620E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
 3.1505178E+001, 1.5762049E+002,-3.2854951E+001,-4.7295645E+000,-3.6090020E+001, 8.3691899E-001, 0.0000000E+000, 0.0000000E+000, 8.3925226E+001, 8.4782869E+001, 0.0000000E+000, 3.3335961E-003, 0.0000000E+000
